ID,Title,Budget,Revenue,Total Time,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
150540,Inside Out,1.6608593574814734,1.981172122069216,1h 35min,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
118,Charlie and the Chocolate Factory,1.275270035960429,0.7195704575046781,1h 55min,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
454626,Sonic the Hedgehog,0.2727378000057139,0.20768902845741186,1h 39min,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
330457,Frozen II,1.275270035960429,3.934412761849379,1h 43min,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
335787,Uncharted,0.8125628501351759,0.47815863457917235,1h 56min,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460458,Resident Evil: Welcome to Raccoon City,-0.6526765716447924,-0.7082416191939459,1h 47min,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
429617,Spider-Man: Far From Home,1.4295057645688467,2.8856159299283872,2h 9min,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
459151,The Boss Baby: Family Business,0.22646708142318855,-0.36260778672024224,1h 47min,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
508943,Luca,2.0464486790025176,-0.6824071842013527,1h 35min,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
744,Top Gun,-0.8069123002532101,0.3300597876385637,1h 50min,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
438631,Dune,1.5066236288730557,0.4790785521583822,2h 35min,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
155,The Dark Knight,1.8150950860898911,2.46566865226491,2h 32min,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2062,Ratatouille,1.275270035960429,1.2100345890805726,1h 51min,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
476669,The King's Man,0.5040913929183405,-0.4312418082872193,2h 11min,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
337167,Fifty Shades Freed,-0.18996938581953926,0.3679008697628133,1h 45min,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
198663,The Maze Runner,-0.5138644158972164,0.30199921870524704,1h 53min,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
724495,The Woman King,-0.2670872501237481,-0.525794581008408,2h 15min,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
383498,Deadpool 2,0.6583271215267582,1.744723647000618,2h 0min,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343668,Kingsman: The Golden Circle,0.5657856843617075,0.5083395606144747,2h 21min,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,The Lord of the Rings: The Fellowship of the Ring,0.39612638289244806,2.0265306429879297,2h 59min,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91586,Insidious: Chapter 2,-0.9611480288616279,-0.31560887085803424,1h 46min,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
539681,DC League of Super-Pets,0.34985566430992276,-0.17713161797528834,1h 45min,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,Finding Nemo,0.41154995575328984,2.2539207505510688,1h 40min,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98566,Teenage Mutant Ninja Turtles,0.8896807144393848,0.7526598971150581,1h 41min,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
329996,Dumbo,1.5837414931772644,0.3183684169438694,1h 52min,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
285,Pirates of the Caribbean: At World's End,3.5888059650866952,2.322053088813316,2h 49min,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
425,Ice Age,-0.12827509437617218,0.41719012025784313,1h 21min,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
809,Shrek 2,1.275270035960429,2.215757850588197,1h 33min,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
882598,Smile,-0.7760651545315266,-0.13382434741521676,1h 55min,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
899112,Violent Night,-0.7297944359490013,-0.5967344763342268,1h 52min,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
324552,John Wick: Chapter 2,-0.42132297873216584,-0.280858047109116,2h 2min,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
109445,Frozen,1.275270035960429,3.3547604201698893,1h 42min,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
863,Toy Story 2,0.34985566430992276,0.7934187477107864,1h 32min,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9552,The Exorcist,-0.8531830188357354,0.6089102547118996,2h 2min,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
931102,Ride On,-1.0382639497956563,-0.7436383107415416,2h 6min,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1726,Iron Man,1.1210343073520113,1.0829263911952038,2h 6min,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
717728,Jeepers Creepers: Reborn,-0.9611480288616279,-0.8268044484483918,1h 28min,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
384018,Fast & Furious Presents: Hobbs & Shaw,2.0464486790025176,1.659666918925089,2h 17min,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520763,A Quiet Place Part II,-0.09742794865448864,0.13411249326593105,1h 37min,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
85,Raiders of the Lost Ark,-0.7606415816706849,0.43917778575137423,1h 55min,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10674,Mulan,0.34985566430992276,0.15692910667476043,1h 28min,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87101,Terminator Genisys,1.352387900264638,0.606265645810042,2h 6min,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
280092,Insidious: Chapter 3,-0.884030164557419,-0.4739217076531056,1h 37min,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
4935,Howl's Moving Castle,-0.6681001445056342,-0.0681640094561859,1h 59min,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
559,Spider-Man 3,2.9410159049313407,2.1043911566336755,2h 19min,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
575322,Project Gemini,-0.9457244560007861,-0.8457404346698292,1h 38min,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
11224,Cinderella,-0.9935375318693956,0.022642970059911754,1h 14min,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
